학원명,도로명주소,분야명,정원합계,Latitude,Longitude
현대피아노교습소,서울특별시 강남구 학동로63길 11,예능(대),8,37.51874780000001,127.0447799
이현우고도수학학원,서울특별시 강남구 남부순환로365길 36,입시.검정 및 보습,70,37.4876018,127.0398772
에이플러스피아노교습소,서울특별시 강남구 압구정로18길 17,예능(대),10,37.5239097,127.0249117
(주)산에듀김영준국어논술전문학원,서울특별시 강남구 도곡로 409,입시.검정 및 보습,1890,37.4973819,127.0551699
일비수학학원,서울특별시 강남구 삼성로 225,입시.검정 및 보습,5,37.4971742,127.0613516
아이러브음악교습소,서울특별시 강남구 학동로101길 26,예능(대),20,37.5223046,127.0577361
민교수수학교습소,서울특별시 강남구 선릉로 225,입시.검정 및 보습,9,37.4953404,127.0526522
강남고도미술학원,서울특별시 강남구 강남대로 240,예능(대),520,37.4853089,127.0344036
에스에이(SA)쎈학원,서울특별시 강남구 영동대로112길 5,입시.검정 및 보습,71,37.5151738,127.0606537
정담수학교습소,서울특별시 강남구 광평로10길 15,입시.검정 및 보습,36,37.482024,127.0821324
이아이이(EIE)매쓰캔학원,서울특별시 강남구 개포로22길 94,입시.검정 및 보습,40,37.475177,127.0529859
체험수학학원,서울특별시 강남구 선릉로72길 20,입시.검정 및 보습,31,37.500342,127.0528515
파라오프리미엄미술학원,서울특별시 강남구 선릉로 408,예능(대),170,37.5014247,127.050749
와이즈만압구정학원,서울특별시 강남구 압구정로34길 11,입시.검정 및 보습,137,37.5273895,127.030957
미래탐구별관2학원,서울특별시 강남구 도곡로63길 13,입시.검정 및 보습,4000,37.4978091,127.0540217
티움미술학원,서울특별시 강남구 선릉로86길 12,예능(대),280,37.5031278,127.0508928
미래탐구초등학원,서울특별시 강남구 삼성로 308,입시.검정 및 보습,2620,37.4997202,127.0608292
에스이레아카데미원격학원,서울특별시 강남구 테헤란로86길 15,종합(대),205,37.5064486,127.0595016
신하연영어교습소,서울특별시 강남구 선릉로68길 12,입시.검정 및 보습,14,37.4990337,127.0528074
압구정파인만중3관학원,서울특별시 강남구 언주로167길 37,입시.검정 및 보습,459,37.5263835,127.0300741
압구정파인만중2관학원,서울특별시 강남구 언주로167길 37,입시.검정 및 보습,459,37.5263835,127.0300741
피아이어학원,서울특별시 강남구 도곡로 319,종합(대),188,37.4958652,127.0508552
블루숲미술교습소,서울특별시 강남구 압구정로18길 14,예능(대),12,37.5239605,127.0245343
리온미술학원,서울특별시 강남구 선릉로86길 15,예능(대),210,37.503546,127.0508294
새움6관학원,서울특별시 강남구 삼성로 301,입시.검정 및 보습,5200,37.499102,127.0604069
대치소마학원,서울특별시 강남구 삼성로 314,입시.검정 및 보습,64,37.5000352,127.0606496
배선생학원,서울특별시 강남구 삼성로63길 6,입시.검정 및 보습,159,37.5001238,127.0596183
엘리제피아노교습소,서울특별시 강남구 남부순환로363길 15,예능(대),30,37.4862718,127.0377353
시카고아트미술교습소,서울특별시 강남구 언주로 110,예능(대),6,37.4845146,127.054174
이보영의토킹클럽강남삼성분원학원,서울특별시 강남구 봉은사로67길 30,입시.검정 및 보습,81,37.513696,127.0480768
투맨미술학원,서울특별시 강남구 선릉로86길 44-3,예능(대),210,37.5038864,127.0535636
엔에프에이(NFA)학원,서울특별시 강남구 영동대로50길 10,입시.검정 및 보습,1032,37.4985403,127.0699374
은하수미술교습소,서울특별시 강남구 역삼로 306,예능(대),28,37.4985708,127.0464187
세계로학원,서울특별시 강남구 도곡로 430,입시.검정 및 보습,16,37.4975062,127.0575512
개념상상학원,서울특별시 강남구 도곡로 418,종합(대),296,37.4970089,127.0562594
우리들판미술학원,서울특별시 강남구 영동대로 219,예능(대),24,37.4983564,127.0682936
케이엔에스(KNS)영어학원,서울특별시 강남구 삼성로 238,입시.검정 및 보습,635,37.4986375,127.0614624
참소리피아노교습소,서울특별시 강남구 언주로 110,예능(대),3,37.4845146,127.054174
윤선생영어교습소,서울특별시 강남구 역삼로70길 28,입시.검정 및 보습,8,37.4996713,127.054138
백상국어학원,서울특별시 강남구 삼성로 348,입시.검정 및 보습,18,37.5026803,127.0591664
천개의고원중3고등관학원,서울특별시 강남구 삼성로 307,입시.검정 및 보습,132,37.4994104,127.0602933
수앤수수학학원,서울특별시 강남구 삼성로67길 22,입시.검정 및 보습,36,37.5008433,127.057656
만지학원,서울특별시 강남구 삼성로 348,입시.검정 및 보습,60,37.5026803,127.0591664
대치해냄학원,서울특별시 강남구 삼성로71길 12,입시.검정 및 보습,30,37.5022678,127.0578621
김태호과학학원,서울특별시 강남구 도곡로77길 7,입시.검정 및 보습,320,37.4988033,127.0583171
대치베스트다빈치2관학원,서울특별시 강남구 역삼로64길 20,입시.검정 및 보습,24,37.4997609,127.0531188
선경어학원,서울특별시 강남구 남부순환로 2936,종합(대),1350,37.4933573,127.0619092
대치올스터디학원,서울특별시 강남구 역삼로 458,입시.검정 및 보습,20,37.5024983,127.0574222
패러곤보습학원,서울특별시 강남구 남부순환로 3032,입시.검정 및 보습,8,37.4919843,127.058717
글로벌퍼스트학원,서울특별시 강남구 삼성로57길 19,입시.검정 및 보습,106,37.4976226,127.0595092
더발레아카데미발레학원,서울특별시 강남구 논현로 838,예능(대),45,37.5234564,127.0286181
디비니티에듀보습학원,서울특별시 강남구 언주로 118,입시.검정 및 보습,80,37.4865165,127.0518831
강남백합음악학원,서울특별시 강남구 개포로109길 5,예능(대),110,37.4941844,127.0752156
일원이해법수학교습소,서울특별시 강남구 광평로10길 50,입시.검정 및 보습,14,37.4805122,127.082524
아트정글미술학원,서울특별시 강남구 선릉로132길 41,예능(대),4,37.5186619,127.0445609
원인학원,서울특별시 강남구 선릉로 310,입시.검정 및 보습,396,37.4972908,127.0527881
