학교종류명,학교명,도로명주소,Latitude,Longitude,2023
초등학교,서울강일초등학교,서울특별시 강동구 아리수로98길 24,37.5649867,127.1772787,22.0
초등학교,서울강명초등학교,서울특별시 강동구 상일로 74-1,37.5545566,127.1733882,22.0
초등학교,서울강동초등학교,서울특별시 강동구 상암로14길 77,37.5459232,127.129938,22.0
초등학교,서울강덕초등학교,서울특별시 강동구 동남로82길 94-54,37.5588618,127.1608488,22.0
초등학교,서울가주초등학교,서울특별시 송파구 오금로40길 37,37.496625,127.1290503,22.2
초등학교,서울가원초등학교,서울특별시 송파구 중대로4길 8,37.4891195,127.1114055,22.2
초등학교,서울가락초등학교,서울특별시 송파구 송파대로37길 45,37.4999216,127.1077796,22.2
초등학교,서울가동초등학교,서울특별시 송파구 중대로20길 47,37.497139,127.1303675,22.2
초등학교,우촌초등학교,서울특별시 성북구 성북로4길 52-1,37.5956492,127.0117126,21.6
초등학교,영훈초등학교,서울특별시 강북구 도봉로13가길 19,37.6137546,127.0277791,20.7
초등학교,성신초등학교,서울특별시 성북구 북악산로 918,37.5941845,127.0229716,21.6
초등학교,매원초등학교,서울특별시 성북구 북악산로 870,37.5979487,127.0198639,21.6
초등학교,대광초등학교,서울특별시 성북구 안암로 5,37.5791594,127.0235866,21.6
초등학교,광운초등학교,서울특별시 성북구 한천로 694,37.61425670000001,127.0589569,21.6
초등학교,서울화계초등학교,서울특별시 강북구 솔매로50가길 25,37.6238714,127.0292178,20.7
초등학교,서울청덕초등학교,서울특별시 성북구 정릉로9라길 11,37.611907,127.000529,21.6
초등학교,서울정수초등학교,서울특별시 성북구 정릉로24길 58,37.6040953,127.007961,21.6
초등학교,서울정릉초등학교,서울특별시 성북구 솔샘로25가길 8,37.6193281,127.0054527,21.6
초등학교,서울정덕초등학교,서울특별시 성북구 아리랑로 63,37.59768280000001,127.0136083,21.6
초등학교,서울장위초등학교,서울특별시 성북구 장월로8가길 41,37.6121311,127.0498869,21.6
초등학교,서울장월초등학교,서울특별시 성북구 한천로101길 66,37.6220048,127.0470668,21.6
초등학교,서울장곡초등학교,서울특별시 성북구 장월로23길 16,37.6166901,127.0481912,21.6
초등학교,서울일신초등학교,서울특별시 성북구 월곡로 74,37.5989164,127.0401417,21.6
