학교종류명,학교명,도로명주소,Latitude,Longitude,2023
중학교,마곡하늬중학교,서울특별시 강서구 마곡서1로 16,37.5580272,126.8208755,23.8
중학교,화곡중학교,서울특별시 강서구 강서로45길 70,37.5487207,126.8329578,23.8
중학교,영도중학교,서울특별시 양천구 목동중앙남로 27,37.5364039,126.8663397,25.9
중학교,양정중학교,서울특별시 양천구 안양천로 1039,37.5349816,126.8871356,25.9
중학교,신정여자중학교,서울특별시 강서구 등촌로13아길 20,37.538034,126.8572848,23.8
중학교,봉영여자중학교,서울특별시 양천구 목동동로2길 68,37.5090233,126.8607257,25.9
중학교,명덕여자중학교,서울특별시 강서구 강서로47길 34-10,37.5542172,126.834343,23.8
중학교,마포중학교,서울특별시 강서구 화곡로 403,37.5596453,126.853311,23.8
중학교,등촌중학교,서울특별시 강서구 공항대로 484-12,37.5524441,126.8594406,23.8
중학교,덕원중학교,서울특별시 강서구 강서로45길 91-44,37.5487057,126.8287123,23.8
중학교,마곡중학교,서울특별시 강서구 마곡중앙5로 58,37.5679114,126.8213961,23.8
중학교,화원중학교,서울특별시 강서구 강서로17나길 86,37.5366863,126.8424103,23.8
중학교,월촌중학교,서울특별시 양천구 목동서로 31,37.5374544,126.8830211,25.9
중학교,염창중학교,서울특별시 강서구 양천로67가길 83,37.5536101,126.8719119,23.8
중학교,염경중학교,서울특별시 강서구 양천로69길 35,37.5543723,126.8707409,23.8
중학교,양천중학교,서울특별시 양천구 지양로7길 32,37.5198339,126.8308383,25.9
중학교,양서중학교,서울특별시 양천구 남부순환로 380,37.5328373,126.8295665,25.9
중학교,양동중학교,서울특별시 양천구 목동중앙북로 49,37.5478212,126.869287,25.9
중학교,양강중학교,서울특별시 양천구 중앙로 319,37.5244334,126.8499744,25.9
중학교,신화중학교,서울특별시 양천구 남부순환로29길 35,37.5406378,126.8300538,25.9
중학교,신월중학교,서울특별시 양천구 남부순환로29길 25,37.5405723,126.8288764,25.9
중학교,신원중학교,서울특별시 양천구 가로공원로55길 19,37.536769,126.8242792,25.9
중학교,신서중학교,서울특별시 양천구 중앙로 206,37.5156672,126.8562088,25.9
중학교,신목중학교,서울특별시 양천구 목동중앙로 88,37.536659,126.8725539,25.9
중학교,신남중학교,서울특별시 양천구 중앙로29길 109,37.5210883,126.8478579,25.9
중학교,수명중학교,서울특별시 강서구 수명로2길 16,37.5488596,126.8237601,23.8
중학교,송정중학교,서울특별시 강서구 남부순환로 121,37.5537314,126.8154308,23.8
중학교,성재중학교,서울특별시 강서구 허준로 36,37.569377,126.8457442,23.8
중학교,삼정중학교,서울특별시 강서구 금낭화로 210,37.5812335,126.8107492,23.8
중학교,백석중학교,서울특별시 강서구 등촌로51나길 35,37.548223,126.8590735,23.8
중학교,방화중학교,서울특별시 강서구 개화동로27길 9,37.565346,126.8066518,23.8
중학교,방원중학교,서울특별시 강서구 금낭화로 268,37.5757774,126.8088379,23.8
중학교,목일중학교,서울특별시 양천구 목동동로8길 70,37.5133082,126.8743331,25.9
중학교,목운중학교,서울특별시 양천구 목동동로 235,37.5268422,126.8730282,25.9
중학교,목동중학교,서울특별시 양천구 목동동로 172,37.5210883,126.8715932,25.9
중학교,등원중학교,서울특별시 강서구 화곡로65길 50,37.5595176,126.8514817,23.8
중학교,등명중학교,서울특별시 강서구 공항대로39길 39,37.5598634,126.8432436,23.8
중학교,금옥중학교,서울특별시 양천구 신정로 213,37.5106814,126.8448406,25.9
중학교,공항중학교,서울특별시 강서구 방화대로 241,37.5625974,126.815359,23.8
중학교,경서중학교,서울특별시 강서구 양천로59길 31,37.5611383,126.85854,23.8
중학교,강신중학교,서울특별시 양천구 남부순환로 604,37.5147115,126.838967,25.9
중학교,서울대학교사범대학부설여자중학교,서울특별시 종로구 대학로 64,37.5773056,127.003633,19.1
중학교,환일중학교,서울특별시 중구 환일길 47,37.5535653,126.9624765,15.8
중학교,한양중학교,서울특별시 중구 을지로 299,37.5654997,127.0116535,15.8
중학교,한강중학교,서울특별시 용산구 녹사평대로 73,37.5240971,126.9919788,20.0
중학교,청운중학교,서울특별시 종로구 창의문로 51,37.5896363,126.9705193,19.1
중학교,창덕여자중학교,서울특별시 중구 정동길 22,37.56612519999999,126.9699672,15.8
중학교,중앙중학교,서울특별시 종로구 창덕궁길 164,37.5840946,126.986866,19.1
중학교,장충중학교,서울특별시 중구 동호로15길 93,37.55295170000001,127.0066146,15.8
중학교,장원중학교,서울특별시 중구 동호로15길 93-34,37.5533544,127.0057035,15.8
중학교,용산중학교,서울특별시 용산구 두텁바위로 74,37.5457835,126.9810681,20.0
중학교,용강중학교,서울특별시 용산구 이촌로65가길 91,37.5209659,126.9761991,20.0
중학교,오산중학교,서울특별시 용산구 보광로7길 17,37.5245704,126.9997636,20.0
중학교,신광여자중학교,서울특별시 용산구 청파로 263,37.5430189,126.9699741,20.0
중학교,성심여자중학교,서울특별시 용산구 원효로19길 49,37.5343336,126.9540334,20.0
중학교,선린중학교,서울특별시 용산구 원효로97길 33-4,37.5424747,126.9665742,20.0
중학교,상명대학교사범대학부속여자중학교,서울특별시 종로구 홍지문2길 20,37.602823,126.9550432,19.1
중학교,보성여자중학교,서울특별시 용산구 신흥로3가길 66,37.5427452,126.9844922,20.0
중학교,배화여자중학교,서울특별시 종로구 필운대로1길 34,37.578332,126.966856,19.1
중학교,배문중학교,서울특별시 용산구 효창원로 258,37.5501896,126.9643548,20.0
중학교,동성중학교,서울특별시 종로구 대학로 156,37.5852449,127.0024442,19.1
중학교,덕수중학교,서울 중구 마른내로9길 10,37.5651345,126.9972511,15.8
중학교,덕성여자중학교,서울특별시 종로구 율곡로3길 49,37.5780289,126.9819373,19.1
중학교,대신중학교,서울특별시 종로구 사직로 9,37.5732752,126.9618425,19.1
중학교,대경중학교,서울특별시 중구 매봉18길 111,37.5563823,127.0170729,15.8
중학교,금호여자중학교,서울특별시 중구 청구로 6,37.558053,127.0205191,15.8
중학교,경신중학교,서울특별시 종로구 혜화로 74,37.5915617,127.0005606,19.1
중학교,효문중학교,서울특별시 도봉구 우이천로 432,37.6526426,127.0183191,22.1
중학교,한천중학교,서울특별시 노원구 공릉로 265,37.6311411,127.0725956,23.2
중학교,하계중학교,서울특별시 노원구 노원로 261-8,37.6408687,127.0716063,23.2
중학교,태랑중학교,서울특별시 노원구 화랑로51나길 51,37.6267615,127.0915404,23.2
중학교,청원중학교,서울특별시 노원구 한글비석로 506,37.6660014,127.0623156,23.2
