"자치구별(1)","자치구별(2)",구분별(1),구분별(2),구분별(3),2023
"합계","영등포구",유치원,학급현황,학급당원아수 (명),18.5
"합계","영등포구",초등학교,학생수 (명),소계,13752
"합계","영등포구",초등학교,학급현황,학급수 (학급),661
"합계","영등포구",초등학교,학급현황,학급당학생수 (명),20.8
"합계","영등포구",중학교,학생수 (명),소계,6257
"합계","영등포구",중학교,학급현황,학급수 (학급),271
"합계","영등포구",중학교,학급현황,학급당학생수 (명),23.1
"합계","영등포구",고등학교,학생수 (명),소계,5467
"합계","영등포구",고등학교,학급현황,학급수 (학급),238
"합계","영등포구",고등학교,학급현황,학급당학생수 (명),23.0
"합계","동작구",유치원,원아수 (명),소계,2348
"합계","동작구",유치원,학급현황,학급수 (학급),126
"합계","동작구",유치원,학급현황,학급당원아수 (명),18.6
"합계","동작구",초등학교,학생수 (명),소계,14265
"합계","동작구",초등학교,학급현황,학급수 (학급),677
"합계","동작구",초등학교,학급현황,학급당학생수 (명),21.1
"합계","동작구",중학교,학생수 (명),소계,6950
"합계","동작구",중학교,학급현황,학급수 (학급),300
"합계","동작구",중학교,학급현황,학급당학생수 (명),23.2
"합계","동작구",고등학교,학생수 (명),소계,5244
"합계","동작구",고등학교,학급현황,학급수 (학급),227
"합계","동작구",고등학교,학급현황,학급당학생수 (명),23.1
"합계","관악구",유치원,원아수 (명),소계,2165
"합계","관악구",유치원,학급현황,학급수 (학급),145
"합계","관악구",유치원,학급현황,학급당원아수 (명),14.9
"합계","관악구",초등학교,학생수 (명),소계,12197
"합계","관악구",초등학교,학급현황,학급수 (학급),627
"합계","관악구",초등학교,학급현황,학급당학생수 (명),19.5
"합계","관악구",중학교,학생수 (명),소계,6314
"합계","관악구",중학교,학급현황,학급수 (학급),285
"합계","관악구",중학교,학급현황,학급당학생수 (명),22.2
"합계","관악구",고등학교,학생수 (명),소계,8478
"합계","관악구",고등학교,학급현황,학급수 (학급),380
"합계","관악구",고등학교,학급현황,학급당학생수 (명),22.3
"합계","서초구",유치원,원아수 (명),소계,1932
"합계","서초구",유치원,학급현황,학급수 (학급),112
"합계","서초구",유치원,학급현황,학급당원아수 (명),17.3
"합계","서초구",초등학교,학생수 (명),소계,20641
"합계","서초구",초등학교,학급현황,학급수 (학급),842
"합계","서초구",초등학교,학급현황,학급당학생수 (명),24.5
"합계","서초구",중학교,학생수 (명),소계,11538
"합계","서초구",중학교,학급현황,학급수 (학급),421
"합계","서초구",중학교,학급현황,학급당학생수 (명),27.4
"합계","서초구",고등학교,학생수 (명),소계,9342
"합계","서초구",고등학교,학급현황,학급수 (학급),368
"합계","서초구",고등학교,학급현황,학급당학생수 (명),25.4
"합계","강남구",유치원,원아수 (명),소계,2849
"합계","강남구",유치원,학급현황,학급수 (학급),176
"합계","강남구",유치원,학급현황,학급당원아수 (명),16.2
"합계","강남구",초등학교,학생수 (명),소계,25205
"합계","강남구",초등학교,학급현황,학급수 (학급),1061
"합계","강남구",초등학교,학급현황,학급당학생수 (명),23.8
"합계","강남구",중학교,학생수 (명),소계,16500
"합계","강남구",중학교,학급현황,학급수 (학급),560
"합계","강남구",중학교,학급현황,학급당학생수 (명),29.5
"합계","강남구",고등학교,학생수 (명),소계,17403
"합계","강남구",고등학교,학급현황,학급수 (학급),699
"합계","강남구",고등학교,학급현황,학급당학생수 (명),24.9
"합계","송파구",유치원,원아수 (명),소계,4839
"합계","송파구",유치원,학급현황,학급수 (학급),260
"합계","송파구",유치원,학급현황,학급당원아수 (명),18.6
"합계","송파구",초등학교,학생수 (명),소계,30806
"합계","송파구",초등학교,학급현황,학급수 (학급),1389
"합계","송파구",초등학교,학급현황,학급당학생수 (명),22.2
"합계","송파구",중학교,학생수 (명),소계,15971
"합계","송파구",중학교,학급현황,학급수 (학급),665
"합계","송파구",중학교,학급현황,학급당학생수 (명),24.0
"합계","송파구",고등학교,학생수 (명),소계,13735
"합계","송파구",고등학교,학급현황,학급수 (학급),593
"합계","송파구",고등학교,학급현황,학급당학생수 (명),23.2
"합계","강동구",유치원,원아수 (명),소계,3749
"합계","강동구",유치원,학급현황,학급수 (학급),190
"합계","강동구",유치원,학급현황,학급당원아수 (명),19.7
"합계","강동구",초등학교,학생수 (명),소계,21736
"합계","강동구",초등학교,학급현황,학급수 (학급),989
"합계","강동구",초등학교,학급현황,학급당학생수 (명),22.0
"합계","강동구",중학교,학생수 (명),소계,10946
"합계","강동구",중학교,학급현황,학급수 (학급),457
"합계","강동구",중학교,학급현황,학급당학생수 (명),24.0
"합계","강동구",고등학교,학생수 (명),소계,10839
"합계","강동구",고등학교,학급현황,학급수 (학급),442
"합계","강동구",고등학교,학급현황,학급당학생수 (명),24.5
